"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","http-nio-8888-exec-2","02/27/2023","12:21:34","","write access is protected;write access is protected
to access the configuration without a password, you need to change the write access to [open] in the Server Administrator;lucee.runtime.exp.SecurityException: write access is protected
	at lucee.runtime.config.ConfigWebUtil.checkPassword(ConfigWebUtil.java:538)
	at lucee.runtime.config.PasswordImpl.updatePassword(PasswordImpl.java:294)
	at lucee.runtime.config.PasswordImpl.updatePassword(PasswordImpl.java:282)
	at lucee.runtime.config.ConfigWebImpl.updatePassword(ConfigWebImpl.java:478)
	at lucee.runtime.tag.Admin.doStartTag(Admin.java:355)
	at web_cfm$cf.call(/admin/web.cfm:106)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:1056)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:948)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:219)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:44)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2493)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2478)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2449)
	at lucee.runtime.engine.Request.exe(Request.java:45)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1216)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1162)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-1","02/28/2023","13:02:58","","invalid definition of the attribute taglib [/path/to/tags];lucee.runtime.exp.TemplateException: invalid definition of the attribute taglib [/path/to/tags]
	at lucee.transformer.cfml.evaluator.impl.Import.executePT(Import.java:141)
	at lucee.transformer.cfml.evaluator.impl.Import.execute(Import.java:77)
	at lucee.transformer.cfml.tag.CFMLTransformer.executeEvaluator(CFMLTransformer.java:864)
	at lucee.transformer.cfml.tag.CFMLTransformer.tag(CFMLTransformer.java:853)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:389)
	at lucee.transformer.cfml.tag.CFMLTransformer.transform(CFMLTransformer.java:327)
	at lucee.transformer.cfml.tag.CFMLTransformer.transform(CFMLTransformer.java:319)
	at lucee.transformer.cfml.tag.CFMLTransformer.transform(CFMLTransformer.java:175)
	at lucee.runtime.compiler.CFMLCompilerImpl._compile(CFMLCompilerImpl.java:104)
	at lucee.runtime.compiler.CFMLCompilerImpl.compile(CFMLCompilerImpl.java:76)
	at lucee.runtime.PageSourceImpl._compile(PageSourceImpl.java:446)
	at lucee.runtime.PageSourceImpl.compile(PageSourceImpl.java:413)
	at lucee.runtime.PageSourceImpl.loadPhysical(PageSourceImpl.java:346)
	at lucee.runtime.PageSourceImpl.loadPageThrowTemplateException(PageSourceImpl.java:237)
	at lucee.runtime.PageSourceImpl.loadPage(PageSourceImpl.java:1024)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:1051)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:948)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:219)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:44)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2493)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2478)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2449)
	at lucee.runtime.engine.Request.exe(Request.java:45)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1216)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1162)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-5","02/28/2023","14:19:44","","invalid component definition, can't find component [./components/Greeting.cfc];lucee.runtime.exp.ExpressionException: invalid component definition, can't find component [./components/Greeting.cfc]
	at lucee.runtime.component.ComponentLoader._search(ComponentLoader.java:196)
	at lucee.runtime.component.ComponentLoader.searchComponent(ComponentLoader.java:82)
	at lucee.runtime.PageContextImpl.loadComponent(PageContextImpl.java:3280)
	at lucee.runtime.functions.other.CreateObject.doComponent(CreateObject.java:148)
	at lucee.runtime.functions.other.CreateObject.call(CreateObject.java:70)
	at lucee.runtime.functions.other.CreateObject.call(CreateObject.java:49)
	at componentcheck_cfm$cf.call(/componentCheck.cfm:2)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:1056)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:948)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:219)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:44)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2493)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2478)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2449)
	at lucee.runtime.engine.Request.exe(Request.java:45)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1216)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1162)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-9","02/28/2023","14:20:41","","invalid component definition, can't find component [./components/Greeting.cfc];lucee.runtime.exp.ExpressionException: invalid component definition, can't find component [./components/Greeting.cfc]
	at lucee.runtime.component.ComponentLoader._search(ComponentLoader.java:196)
	at lucee.runtime.component.ComponentLoader.searchComponent(ComponentLoader.java:82)
	at lucee.runtime.PageContextImpl.loadComponent(PageContextImpl.java:3280)
	at lucee.runtime.functions.other.CreateObject.doComponent(CreateObject.java:148)
	at lucee.runtime.functions.other.CreateObject.call(CreateObject.java:70)
	at lucee.runtime.functions.other.CreateObject.call(CreateObject.java:49)
	at componentcheck_cfm$cf.call(/componentCheck.cfm:2)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:1056)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:948)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:219)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:44)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2493)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2478)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2449)
	at lucee.runtime.engine.Request.exe(Request.java:45)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1216)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1162)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-4","02/28/2023","14:20:43","","invalid component definition, can't find component [./components/Greeting.cfc];lucee.runtime.exp.ExpressionException: invalid component definition, can't find component [./components/Greeting.cfc]
	at lucee.runtime.component.ComponentLoader._search(ComponentLoader.java:196)
	at lucee.runtime.component.ComponentLoader.searchComponent(ComponentLoader.java:82)
	at lucee.runtime.PageContextImpl.loadComponent(PageContextImpl.java:3280)
	at lucee.runtime.functions.other.CreateObject.doComponent(CreateObject.java:148)
	at lucee.runtime.functions.other.CreateObject.call(CreateObject.java:70)
	at lucee.runtime.functions.other.CreateObject.call(CreateObject.java:49)
	at componentcheck_cfm$cf.call(/componentCheck.cfm:2)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:1056)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:948)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:219)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:44)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2493)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2478)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2449)
	at lucee.runtime.engine.Request.exe(Request.java:45)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1216)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1162)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-3","02/28/2023","14:21:00","","invalid component definition, can't find component [./components];lucee.runtime.exp.ExpressionException: invalid component definition, can't find component [./components]
	at lucee.runtime.component.ComponentLoader._search(ComponentLoader.java:196)
	at lucee.runtime.component.ComponentLoader.searchComponent(ComponentLoader.java:82)
	at lucee.runtime.PageContextImpl.loadComponent(PageContextImpl.java:3280)
	at lucee.runtime.functions.other.CreateObject.doComponent(CreateObject.java:148)
	at lucee.runtime.functions.other.CreateObject.call(CreateObject.java:70)
	at lucee.runtime.functions.other.CreateObject.call(CreateObject.java:49)
	at componentcheck_cfm$cf$d.call(/componentCheck.cfm:2)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:1056)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:948)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:219)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:44)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2493)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2478)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2449)
	at lucee.runtime.engine.Request.exe(Request.java:45)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1216)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1162)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-6","02/28/2023","14:21:02","","invalid component definition, can't find component [./components];lucee.runtime.exp.ExpressionException: invalid component definition, can't find component [./components]
	at lucee.runtime.component.ComponentLoader._search(ComponentLoader.java:196)
	at lucee.runtime.component.ComponentLoader.searchComponent(ComponentLoader.java:82)
	at lucee.runtime.PageContextImpl.loadComponent(PageContextImpl.java:3280)
	at lucee.runtime.functions.other.CreateObject.doComponent(CreateObject.java:148)
	at lucee.runtime.functions.other.CreateObject.call(CreateObject.java:70)
	at lucee.runtime.functions.other.CreateObject.call(CreateObject.java:49)
	at componentcheck_cfm$cf$d.call(/componentCheck.cfm:2)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:1056)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:948)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:219)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:44)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2493)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2478)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2449)
	at lucee.runtime.engine.Request.exe(Request.java:45)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1216)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1162)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-7","02/28/2023","14:24:52","","invalid component definition, can't find component [components.Greeting];lucee.runtime.exp.ExpressionException: invalid component definition, can't find component [components.Greeting]
	at lucee.runtime.component.ComponentLoader._search(ComponentLoader.java:196)
	at lucee.runtime.component.ComponentLoader.searchComponent(ComponentLoader.java:82)
	at lucee.runtime.PageContextImpl.loadComponent(PageContextImpl.java:3280)
	at lucee.runtime.functions.other.CreateObject.doComponent(CreateObject.java:148)
	at lucee.runtime.functions.other.CreateObject.call(CreateObject.java:70)
	at lucee.runtime.functions.other.CreateObject.call(CreateObject.java:49)
	at componentcheck_cfm$cf$e.call(/componentCheck.cfm:2)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:1056)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:948)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:219)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:44)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2493)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2478)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2449)
	at lucee.runtime.engine.Request.exe(Request.java:45)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1216)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1162)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-6","02/28/2023","15:17:31","","variable [VARTITLE] doesn't exist;lucee.runtime.exp.ExpressionException: variable [VARTITLE] doesn't exist
	at lucee.runtime.type.scope.UndefinedImpl.get(UndefinedImpl.java:242)
	at lucee.runtime.type.scope.UndefinedImpl.get(UndefinedImpl.java:184)
	at learncoldfusion_cfm$cf$j.call(/learnColdFusion.cfm:4)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:1056)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:948)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:219)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:44)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2493)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2478)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2449)
	at lucee.runtime.engine.Request.exe(Request.java:45)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1216)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1162)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-7","02/28/2023","16:24:08","","key [USERNAME] doesn't exist;lucee.runtime.exp.ExpressionException: key [USERNAME] doesn't exist
	at lucee.runtime.type.util.StructSupport.invalidKey(StructSupport.java:67)
	at lucee.runtime.type.StructImpl.get(StructImpl.java:139)
	at pages.auth_cfm$cf.call(/pages/auth.cfm:4)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:1056)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:948)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:219)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:44)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2493)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2478)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2449)
	at lucee.runtime.engine.Request.exe(Request.java:45)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1216)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1162)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
